University,Abbreviation
University of California--Los Angeles,UCLA
"University of California, Berkeley",UC Berkeley
University of Michigan--Ann Arbor,UMich
University of Virginia,UVA
University of North Carolina--Chapel Hill,UNC
"University of California, San Diego",UCSD
University of Florida,UF
The University of Texas--Austin,UT Austin
Georgia Institute of Technology,Georgia Tech
"University of California, Davis",UC Davis
University of California--Irvine,UC Irvine
University of Illinois Urbana-Champaign,UIUC
"University of California, Santa Barbara",UCSB
University of Wisconsin--Madison,UW-Madison
The Ohio State University,OSU
Rutgers University--New Brunswick,Rutgers
"University of Maryland, College Park",UMD
Purdue University--Main Campus,Purdue
University of Georgia,UGA
University of Washington,UW
Texas A&M University,Texas A&M
Virginia Tech,VT
Florida State University,FSU
University of Minnesota--Twin Cities,UMN
William & Mary,W&M
North Carolina State University,NC State
Stony Brook University--SUNY,Stony Brook
"University of California, Merced",UC Merced
University of Massachusetts--Amherst,UMass Amherst
Michigan State University,MSU
The Pennsylvania State University--University Park,Penn State
University of Connecticut,UConn
University of Pittsburgh,Pitt
Binghamton University--SUNY,Binghamton
Indiana University--Bloomington,IU
Colorado School of Mines,Mines
University at Buffalo--SUNY,UB
"University of California, Riverside",UC Riverside
Clemson University,Clemson
Rutgers University--Newark,Rutgers-Newark
University of Illinois--Chicago,UIC
New Jersey Institute of Technology,NJIT
"University of California, Santa Cruz",UCSC
University of Delaware,UD
University of South Florida,USF
Florida International University,FIU
Rutgers University--Camden,Rutgers-Camden
Temple University,Temple
University of Colorado Boulder,CU Boulder
University of Iowa,UIowa
Auburn University,Auburn
California State University--Long Beach,CSULB
George Mason University,GMU
San Diego State University,SDSU
University of Arizona,UA
University of Missouri,Mizzou
University of New Hampshire,UNH
University of Oregon,UO
University of Tennessee--Knoxville,UTK
The University of Texas--Dallas,UT Dallas
Arizona State University,ASU
CUNY--City College,CCNY
Iowa State University of Science and Technology,ISU
University at Albany--SUNY,UAlbany
University of Central Florida,UCF
University of South Carolina,USC
University of Vermont,UVM
University of Oklahoma,OU
California State University--Fullerton,CSUF
Miami University--Oxford,Miami (OH)
University of Alabama at Birmingham,UAB
University of Utah,U of U
Virginia Commonwealth University,VCU
Oregon State University,OSU
SUNY College of Environmental Science and Forestry,ESF
University of Houston,UH
University of Maryland Baltimore County,UMBC
Colorado State University,CSU
James Madison University,JMU
Michigan Technological University,Michigan Tech
Florida A&M University,FAMU
Montclair State University,MSU
Stockton University,Stockton
University of Cincinnati,UC
University of Kansas,KU
University of Kentucky,UK
University of Massachusetts--Lowell,UMass Lowell
University of Nebraska -- Lincoln,UNL
University of North Carolina at Charlotte,UNC Charlotte
University of Rhode Island,URI
Kansas State University,K-State
California State University--San Bernardino,CSUSB
Rowan University,Rowan
The University of Alabama,UA
University of Hawaii at Manoa,UH Manoa
University of Mississippi,Ole Miss
California State University--Fresno,Fresno State
Louisiana State University--Baton Rouge,LSU
Ohio University,OU
University of Idaho,UI
University of Louisville,UofL
Wayne State University,WSU
East Carolina University,ECU
Florida Atlantic University,FAU
University of Arkansas,UARK
Washington State University,WSU
Georgia State University,GSU
Indiana University Indianapolis,IUPUI
Missouri University of Science and Technology,Missouri S&T
Oklahoma State University,OSU
University of North Carolina--Greensboro,UNCG
University of North Carolina--Wilmington,UNCW
Ball State University,Ball State
San Francisco State University,SFSU
University of Nevada--Reno,UNR
Mississippi State University,MSU
Texas Tech University,TTU
University of Massachusetts--Boston,UMass Boston
Illinois State University,ISU
University of North Texas,UNT
The University of Texas--Rio Grande Valley,UTRGV
University of Wyoming,UW
West Chester University of Pennsylvania,WCUPA
West Virginia University,WVU
Winston-Salem State University,WSSU
Kent State University,KSU
North Carolina Agricultural and Technical State University,NC A&T
North Dakota State University,NDSU
Sam Houston State University,SHSU
University of New Mexico,UNM
University of North Florida,UNF
The University of Texas--Arlington,UT Arlington
The University of Texas--San Antonio,UTSA
Western Carolina University,WCU